iter	Passed	Remaining
279	599	257
280	601	254
281	604	252
282	606	250
283	608	248
284	610	246
285	612	244
286	615	242
287	617	240
288	619	238
289	621	235
290	623	233
291	626	231
292	628	229
293	630	227
294	632	225
295	634	222
296	636	220
297	638	218
298	641	216
299	643	214
300	645	212
301	647	210
302	649	207
303	650	205
304	652	203
305	654	201
306	656	198
307	658	196
308	659	194
309	661	192
310	663	189
311	665	187
312	666	185
313	668	182
314	669	180
315	671	178
316	673	176
317	674	174
318	676	171
319	678	169
320	680	167
321	681	165
322	683	162
323	685	160
324	686	158
325	688	156
326	690	154
327	692	151
328	693	149
329	695	147
330	697	145
331	699	143
332	700	140
333	702	138
334	704	136
335	706	134
336	708	132
337	709	130
338	711	128
339	713	125
340	714	123
341	716	121
342	718	119
343	722	117
344	725	115
345	727	113
346	729	111
347	732	109
348	734	107
349	736	105
350	738	103
351	740	101
352	742	98
353	744	96
354	747	94
355	749	92
356	751	90
357	753	88
358	755	86
359	757	84
360	760	82
361	762	80
362	764	77
363	766	75
364	768	73
365	770	71
366	773	69
367	775	67
368	777	65
369	779	63
370	781	61
371	784	59
372	786	56
373	788	54
374	790	52
375	793	50
376	795	48
377	797	46
378	800	44
379	802	42
380	804	40
381	806	38
382	808	35
383	810	33
384	813	31
385	815	29
386	817	27
387	819	25
388	821	23
389	823	21
390	825	19
391	828	16
392	830	14
393	832	12
394	834	10
395	835	8
396	837	6
397	840	4
398	842	2
399	844	0
=======
0	4	881
1	8	805
2	11	750
3	14	704
4	18	715
5	19	619
6	22	613
7	29	704
8	33	714
9	36	692
10	39	680
11	43	678
12	46	669
13	49	657
14	52	644
15	55	640
16	60	652
17	64	654
18	68	656
19	72	656
20	81	693
21	85	690
22	88	680
23	92	680
24	95	670
25	98	661
26	102	653
27	105	649
28	110	651
29	114	651
30	118	643
31	121	639
32	124	628
33	127	623
34	130	615
35	133	608
36	137	606
37	141	603
38	142	588
39	145	582
40	150	581
41	153	575
42	156	571
43	160	567
44	162	561
45	167	559
46	169	552
47	172	545
48	176	542
49	179	539
50	182	533
51	185	527
52	188	521
53	191	517
54	194	513
55	201	517
56	203	511
57	206	505
58	209	500
59	212	496
60	216	493
61	220	490
62	223	486
63	226	482
64	230	478
65	233	474
66	237	472
67	241	468
68	245	465
69	247	459
70	250	455
71	253	450
72	256	446
73	259	441
74	261	435
75	264	431
76	268	428
77	272	426
78	275	422
79	277	416
80	280	412
81	283	407
82	287	404
83	289	400
84	292	396
85	295	392
86	298	387
87	301	383
88	304	379
89	306	374
90	309	370
91	312	366
92	315	362
93	317	358
94	320	354
95	324	351
96	327	348
97	331	344
98	334	341
99	337	337
100	341	334
101	344	331
102	348	327
103	351	324
104	354	320
105	358	317
106	361	314
107	364	310
108	368	307
109	371	303
110	374	300
111	377	296
112	380	293
113	384	289
114	387	286
115	390	282
116	393	279
117	397	275
118	400	272
119	403	268
120	406	265
121	408	261
122	411	257
123	414	253
124	417	250
125	419	246
126	422	243
127	425	239
128	428	235
129	431	232
130	434	228
131	436	225
132	439	221
133	442	217
134	444	213
135	447	210
136	451	207
137	453	203
138	456	200
139	459	196
140	462	193
141	465	190
142	468	186
143	470	183
144	473	179
145	478	176
146	481	173
147	484	170
148	487	166
149	490	163
150	493	160
151	496	156
152	498	153
153	501	149
154	504	146
155	507	143
156	510	139
157	513	136
158	516	133
159	519	129
160	522	126
161	525	123
162	527	119
163	530	116
164	533	113
165	536	109
166	538	106
167	541	103
168	544	99
169	547	96
170	549	93
171	552	90
172	555	86
173	558	83
174	561	80
175	564	76
176	566	73
177	569	70
178	572	67
179	574	63
180	577	60
181	580	57
182	584	54
183	587	51
184	590	47
185	593	44
186	596	41
187	600	38
188	604	35
189	608	32
190	611	28
191	614	25
192	618	22
193	621	19
194	624	16
195	627	12
196	629	9
197	632	6
198	635	3
199	638	0
>>>>>>> 0dc4c7a4e997976952db2e33e93ad47e15d1f97d
